306177.054,6194045.343
306164.056,6194059.031
306109.125,6194107.236
306090.067,6194130.217
306065.404,6194178.982
306056.997,6194212.053
306044.665,6194261.379
306031.213,6194289.965
306015.581,6194303.106
306001.630,6194321.541
305990.420,6194336.737
305976.718,6194344.211
305963.515,6194346.204
305950.311,6194344.709
305948.069,6194334.993
305954.795,6194337.734
305967.002,6194340.723
305981.700,6194334.246
305998.640,6194315.064
306004.619,6194302.110
306016.079,6194288.408
306027.787,6194275.703
306037.752,6194254.030
306045.475,6194217.907
306054.194,6194183.031
306072.691,6194142.735
306094.365,6194109.852
306131.982,6194071.986
306169.197,6194039.021
306177.054,6194045.343
