306450.285,6194315.116
306437.449,6194338.730
306415.028,6194365.074
306408.302,6194385.814
306411.494,6194446.840
306417.270,6194500.159
306384.199,6194531.548
306347.065,6194555.651
306324.084,6194591.524
306311.752,6194612.824
306287.650,6194630.200
306277.000,6194654.863
306262.987,6194674.481
306242.809,6194685.131
306210.859,6194706.430
306182.273,6194728.851
306154.247,6194739.501
306137.992,6194732.775
306143.597,6194719.883
306169.381,6194720.443
306197.967,6194705.870
306251.777,6194668.315
306270.274,6194649.257
306289.332,6194616.187
306317.358,6194585.358
306333.613,6194559.014
306357.154,6194534.351
306380.696,6194514.172
306394.149,6194483.904
306395.626,6194469.708
306391.346,6194399.827
306392.887,6194348.259
306432.684,6194316.309
306441.453,6194304.053
306448.501,6194302.607
306450.285,6194315.116
